Date,open,high,low,close,volume,daily_return,volatility,ma_50,ma_200,open_outlier,high_outlier,low_outlier,close_outlier,price_consistency
5/2/2022,191.71,200.21,190.01,199.46,14591602,4.78,8.33,337.9088,510.7984,FALSE,FALSE,FALSE,FALSE,TRUE
5/3/2022,198.29,203.2,194.77,199.87,11839431,0.21,8.17,334.0804,509.13635,FALSE,FALSE,FALSE,FALSE,TRUE
5/4/2022,197.65,204.38,191.01,204.01,12108505,2.07,8.25,330.613,507.50115,FALSE,FALSE,FALSE,FALSE,TRUE
5/5/2022,200.45,200.71,186,188.32,13971326,-7.69,8.33,327.0302,505.8746,FALSE,FALSE,FALSE,FALSE,TRUE
5/6/2022,186.75,187.21,175.81,180.97,17185475,-3.9,8.32,322.849,504.2206,FALSE,FALSE,FALSE,FALSE,TRUE
5/9/2022,177.66,183.2,172.3,173.1,14031327,-4.35,8.32,318.495,502.50905,FALSE,FALSE,FALSE,FALSE,TRUE
5/10/2022,176.01,181.87,170.57,177.66,13883905,2.63,8.42,314.1578,500.8149,FALSE,FALSE,FALSE,FALSE,TRUE
5/11/2022,176.09,180.92,165.55,166.37,12665518,-6.35,8.45,309.7604,499.0522,FALSE,FALSE,FALSE,FALSE,TRUE
5/12/2022,163.96,177.58,162.71,174.31,17662118,4.77,8.56,305.646,497.32725,FALSE,FALSE,FALSE,FALSE,TRUE
5/13/2022,177.16,187.77,176.01,187.64,13136334,7.65,8.89,302.0374,495.6942,FALSE,FALSE,FALSE,FALSE,TRUE
5/16/2022,193.3,195.89,185.7,186.51,16145011,-0.6,8.89,298.533,494.0389,FALSE,FALSE,FALSE,FALSE,TRUE
5/17/2022,189.17,191.4,185.17,190.56,9876685,2.17,8.86,295.339,492.41595,FALSE,FALSE,FALSE,FALSE,TRUE
5/18/2022,186.72,187.7,176.27,177.19,9665632,-7.02,4.64,292.0476,490.7478,FALSE,FALSE,FALSE,FALSE,TRUE
5/19/2022,178.04,186.3,175.71,183.48,10448513,3.55,4.72,288.5414,489.07845,FALSE,FALSE,FALSE,FALSE,TRUE
5/20/2022,185.87,190.19,179.77,186.35,10429396,1.56,4.74,285.133,487.38575,FALSE,FALSE,FALSE,FALSE,TRUE
5/23/2022,186.15,187.66,177.89,187.44,9602027,0.58,4.73,282.0754,485.7202,FALSE,FALSE,FALSE,FALSE,TRUE
5/24/2022,182,184,177.17,180.34,7706372,-3.79,4.65,279.062,484.02205,FALSE,FALSE,FALSE,FALSE,TRUE
5/25/2022,180.28,188.87,180.17,187.83,8522092,4.15,4.62,275.9436,482.382,FALSE,FALSE,FALSE,FALSE,TRUE
5/26/2022,186.49,192.34,183.09,191.4,8049933,1.9,4.44,272.621,480.777,FALSE,FALSE,FALSE,FALSE,TRUE
5/27/2022,193.19,195.25,190.37,195.19,8585987,1.98,4.33,269.0968,479.19935,FALSE,FALSE,FALSE,FALSE,TRUE
5/31/2022,196.18,199.95,190.8,197.44,11398460,1.15,4.21,265.4336,477.60695,FALSE,FALSE,FALSE,FALSE,TRUE
6/1/2022,198.7,202.74,191.66,192.91,8416151,-2.29,4.24,261.8,475.9819,FALSE,FALSE,FALSE,FALSE,TRUE
